Comment,Designator,Footprint,LCSC Part #,Quantity
4.7µH,L1,L_1206_3216Metric,C13585,2
18pF,C14 C16,C_1206_3216Metric,C565686,2
56nH,L4 L5,L_1206_3216Metric,C13585,2
MAX809STRG,U7,U_SOT-23_ONS,C9965,2
BMP280,U8,Bosch_LGA-8_2x2.5mm_P0.65mm,C83291,1
Si5351A-B-GT,Y1,MSOP-10_3x3mm_P0.5mm,C1509083,1
100nF,C9 C19 C1 C8 C17 C18 C10 C20 C21,C_1206_3216Metric,C24497,10
C132296,Y2,Crystal_SMD_2520-4Pin_2.5x2.0mm,C132296,1
560nH,L2 L3 L4 L5,L_1206_3216Metric,C13585,4
100kΩ,R6 R2,C_1206_3216Metric,C137393,2
AO3401A,Q1 Q2 Q1,Q_SOT-23,C15127,3
10kΩ,R1 R7 R8 R9 R11 R12 R14,R_1206_3216Metric,C132649,8
30pF,C15,C_1206_3216Metric,C1905,1
300pF,C12 C15,C_1206_3216Metric,C5449026,2
10µF,C2 C1 C3 C5,C_1206_3216Metric,C13585,4
180pF,C11 C13 C14 C16,C_1206_3216Metric,C3832761,4
ATGM336H-5N31,IC1 IC1 IC1,ATGM336H5N31,C2940946,3
CJ431,U3 U4,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,C3113,2
TPS61221DCK,U5,Texas_R-PDSO-G6,C2865756,1
1nF,C7 C7,C_1206_3216Metric,C23631,2
200kΩ,R5 R5,D_1206_3216Metric,C114937,2
MMBT2222A,Q1,Q_SOT-23,C82460,1
TPS61222DCK,U1,Texas_R-PDSO-G6,C116461,1
2.7kΩ,R3,R_1206_3216Metric,C2930416,1
ICM7555xP,U2,DIP-8_W7.62mm,C22461592,1
1MΩ,R4,R_1206_3216Metric,C108083,1
